date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2014-07-02,40,rust-lang:12|gmail:8|sector5d:1|alexcrichton:2|sfu:3|mimiga:2|dei:1|luqman:1|steveklabnik:1|veniogames:1|racket-lang:3|lunar:1|mozilla:1|pnkfx:1|ballards:2,1724,613,91,40
2014-07-03,35,rust-lang:10|gmail:8|alexcrichton:3|jthompson:1|luqman:3|racket-lang:3|mimiga:1|steveklabnik:1|lunar:2|pernsteiner:1|ballards:2,1635,740,65,35
2014-07-04,61,gmail:17|rust-lang:13|mimiga:3|dei:1|siciarz:1|dgoon:1|racket-lang:8|texitoi:1|phildawes:1|ballards:2|luqman:3|pnkfx:2|steveklabnik:2|lunar:1|mozilla:2|chrismorgan:2|yahoo:1,2685,903,155,61
2014-07-05,34,gmail:13|whanau:1|rust-lang:12|users:1|alexcrichton:1|mozilla:2|jthompson:1|ballards:1|pnkfx:1|divitu:1,1030,337,77,34
2014-07-06,36,exyr:1|rust-lang:11|luqman:1|alexcrichton:1|gmail:3|ballards:1|racket-lang:7|zepler:1|lunar:1|pnkfx:1|mozilla:8,1432,713,77,36
2014-07-07,33,rust-lang:7|veniogames:1|gmail:6|luqman:2|mozilla:3|ballards:1|alexcrichton:1|racket-lang:8|pnkfx:1|mimiga:3,2410,2537,188,33
2014-07-08,19,rust-lang:8|ncameron:1|hotmail:3|steveklabnik:2|racket-lang:1|gmail:3|lunar:1,1025,325,64,19
2014-07-09,41,rust-lang:12|alexcrichton:5|gmail:7|steveklabnik:1|luqman:5|linux:1|mimiga:1|fhahn:1|racket-lang:2|posteo:5|lunar:1,5765,1919,175,41
2014-07-10,41,rust-lang:11|gmail:9|mathijs:1|alexcrichton:5|octarineparrot:1|pnkfx:1|mozilla:4|racket-lang:3|lunar:1|posteo:2|luqman:3,986,773,119,41
2014-07-11,35,rust-lang:9|hotmail:1|localhost:1|gmail:4|googlemail:2|mozilla:12|lunar:1|racket-lang:3|octarineparrot:1|alexcrichton:1,3133,947,166,35
2014-07-12,20,rust-lang:11|prudhvi:1|gmail:4|racket-lang:3|masklinn:1,335,257,17,20
2014-07-13,16,rust-lang:9|racket-lang:1|gmail:5|lightsofapollo:1,596,220,15,16
2014-07-14,28,rust-lang:7|ncameron:2|racket-lang:2|gmail:2|xively:1|lunar:6|mozilla:7|alexcrichton:1,2022,571,92,28
2014-07-15,28,gmail:7|rust-lang:10|steveklabnik:3|alexcrichton:6|ncameron:1|lunar:1,2390,976,71,28
2014-07-16,23,rust-lang:9|gmail:9|mozilla:1|fhahn:1|steveklabnik:1|alexcrichton:1|pernsteiner:1,3301,2963,46,23
2014-07-17,32,rust-lang:10|gmail:10|localhost:2|steveklabnik:2|alexcrichton:2|pnkfx:2|luqman:1|mimiga:1|racket-lang:1|pernsteiner:1,2295,1013,129,32
2014-07-18,33,localhost:2|rust-lang:11|alexcrichton:2|gmail:7|steveklabnik:2|mozilla:4|luqman:1|exyr:4,1525,670,48,33
2014-07-19,28,localhost:2|rust-lang:9|gmail:9|exyr:1|mozilla:4|crystae:1|luqman:1|whanau:1,1008,655,95,28
2014-07-20,43,rust-lang:13|steveklabnik:1|xively:2|mozilla:2|gmail:23|localhost:1|alexcrichton:1,1482,543,55,43
2014-07-21,27,rust-lang:3|earthlink:1|whanau:2|alexcrichton:1|gmail:11|mozilla:1|steveklabnik:1|lunar:5|mimiga:1|pernsteiner:1,1766,405,145,27
2014-07-22,39,rust-lang:13|gmail:14|mozilla:2|mohanathas:2|pernsteiner:1|luqman:1|nikomatsakis:6,2368,1665,106,39
2014-07-23,25,rust-lang:8|gmail:3|mozilla:5|mimiga:4|alexcrichton:4|lunar:1,2684,1330,187,25
2014-07-24,32,rust-lang:11|gmail:10|users:1|alexcrichton:3|mimiga:2|mozilla:3|steveklabnik:1|posteo:1,1480,159,32,32
2014-07-25,51,gmail:17|rust-lang:11|mozilla:7|alexcrichton:7|mimiga:2|luqman:3|babelmonkeys:1|steveklabnik:1|pernsteiner:1|ncameron:1,3155,10479,141,51
2014-07-26,22,rust-lang:12|texitoi:1|gmail:6|crystae:1|mozilla:1|lunar:1,323,288,231,22
2014-07-27,27,rust-lang:9|veniogames:1|gmail:15|mail:1|mozilla:1,1108,195,31,27
2014-07-28,33,gmail:17|lunar:3|jxs:1|rust-lang:3|mozilla:6|alexcrichton:1|mimiga:1|pernsteiner:1,1240,784,58,33
2014-07-29,29,rust-lang:11|ntecs:1|chocolate-fish:1|gmail:7|exyr:2|alexcrichton:1|mozilla:3|luqman:2|mimiga:1,3020,1658,132,29
2014-07-30,40,gmail:8|rust-lang:7|mozilla:6|steveklabnik:6|alexcrichton:3|exyr:2|xively:3|luqman:2|sfu:2|posteo:1,1961,185,68,40
2014-07-31,23,ntecs:2|rust-lang:8|finq:1|gmail:1|alexcrichton:2|ballards:1|eduardobautista:1|posteo:1|jthompson:1|mozilla:4|pernsteiner:1,483,163,40,23
2014-08-01,38,gmail:13|rust-lang:10|inodes:2|eduardobautista:2|mozilla:3|steveklabnik:3|luqman:1|pnkfx:1|pernsteiner:3,1857,388,137,38
2014-08-02,32,rust-lang:13|flaskpost:1|lmercox:1|42dh:1|gmail:6|db48x:1|alexcrichton:1|crystae:2|steveklabnik:1|whanau:5,877,268,32,32
2014-08-03,19,rust-lang:10|gmail:8|42dh:1,282,64,32,19
2014-08-04,34,gmail:2|rust-lang:7|42dh:2|veniogames:1|sfu:1|conradk:1|mozilla:7|steveklabnik:3|luqman:5|mimiga:2|whanau:1|ncameron:2,7441,4971,302,34
2014-08-05,25,timdumol:1|rust-lang:10|gmail:5|steveklabnik:1|alexcrichton:4|nikomatsakis:1|luqman:1|42dh:1|mimiga:1,4082,1036,191,25
2014-08-06,48,rust-lang:10|gmail:14|42dh:1|exyr:3|pnkfx:1|alexcrichton:6|mail:1|steveklabnik:2|mozilla:9|ncameron:1,2014,947,230,48
2014-08-07,33,gmail:9|rust-lang:8|svario:1|steveklabnik:3|nikomatsakis:1|alexcrichton:1|pnkfx:4|mozilla:6,1381,524,49,33
2014-08-08,26,rust-lang:12|eduardobautista:2|sigma:1|nikomatsakis:1|gmail:7|veniogames:1|pernsteiner:1|mozilla:1,104,129,29,26
2014-08-09,21,rust-lang:11|gmail:5|pnkfx:2|eduardobautista:2|exyr:1,204,63,22,21
2014-08-10,13,rust-lang:7|gmail:5|whanau:1,648,57,56,13
2014-08-11,31,rust-lang:7|ncameron:1|gmail:8|mozilla:6|steveklabnik:2|luqman:2|pernsteiner:3|mimiga:2,3354,1744,164,31
2014-08-12,22,rust-lang:8|hotmail:1|steveklabnik:3|mimiga:5|gmail:3|pernsteiner:1|mozilla:1,832,528,142,22
2014-08-13,22,rust-lang:8|gmail:4|mozilla:3|pnkfx:1|ballards:1|steveklabnik:1|eduardobautista:3|ncameron:1,613,150,22,22
2014-08-14,27,gmail:7|rust-lang:12|pnkfx:1|luqman:3|ballards:1|lunar:2|nikomatsakis:1,605,275,60,27
