date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2015-06-09,23,poettering:10|who-t:2|gnome:4|redhat:2|vrfy:2|gmail:1|jklm:1|gentoo:1,715,833,171,23
2015-06-10,53,poettering:16|who-t:1|gmail:13|zonque:6|gnome:1|huseboe:1|axis:1|in:3|jklm:5|coreos:1|google:2|suse:1|dell:1|samsung:1,2182,859,74,53
2015-06-11,21,poettering:8|gmail:4|zonque:3|jklm:2|googlemail:3|google:1,186,135,22,21
2015-06-12,14,gmail:6|zonque:1|poettering:2|vrfy:1|axis:1|in:1|jklm:1|endocode:1,1440,1442,61,14
2015-06-13,7,gmail:1|zonque:1|jklm:3|vrfy:1|in:1,970,1058,18,7
2015-06-14,19,vrfy:6|googlemail:4|gmail:5|jklm:3|debian:1,217,194,20,19
2015-06-15,25,gmail:2|poettering:15|gnome:1|holtmann:1|zonque:4|opensuse:1|vrfy:1,1832,171,73,25
2015-06-16,19,poettering:6|zonque:3|axis:2|gmail:2|googlemail:1|redhat:3|jklm:1|endocode:1,58,53,20,19
2015-06-17,61,vrfy:10|gmail:5|redhat:3|poettering:23|zonque:5|googlemail:2|collabora:2|gmx:1|debian:1|jklm:6|suse:1|gnome:2,3728,1152,109,61
2015-06-18,34,poettering:14|vrfy:4|zonque:3|pengutronix:1|gnome:1|gmail:4|jklm:4|googlemail:3,532,1011,223,34
2015-06-19,18,poettering:6|gmail:1|zonque:1|codethink:10,512,308,39,18
2015-06-20,5,daurnimator:1|zonque:2|googlemail:1|gmail:1,20,20,4,5
2015-06-21,5,gmail:2|zonque:1|gmx:1|redhat:1,62,32,8,5
2015-06-22,11,zonque:1|jklm:1|vrfy:5|poettering:2|gmx:1|gmail:1,53,35,12,11
2015-06-23,44,vrfy:4|who-t:2|zonque:5|debian:1|gmail:11|intel:2|jklm:7|poettering:7|codethink:5,2067,64408,95,44
2015-06-24,13,zonque:2|inai:1|vrfy:2|gmail:1|poettering:2|jp:1|jklm:4,165,126,25,13
2015-06-25,9,jklm:1|zonque:3|vrfy:1|redhat:4,7,24,5,9
2015-06-26,8,who-t:1|vrfy:1|kroah:1|jklm:4|codeweavers:1,131,191,10,8
2015-06-27,5,hadess:1|debian:3|mentor:1,45,336,10,5
2015-06-28,3,gmail:1|jklm:2,29,37,4,3
2015-06-29,17,zonque:5|users:1|vrfy:1|jklm:5|posteo:1|in:2|redhat:1|suse:1,92,33,13,17
2015-06-30,17,endocode:1|in:2|codethink:3|poettering:1|mentor:1|jklm:3|eworm:1|vrfy:2|gnome:1|googlemail:1|redhat:1,126,112,14,17
2015-07-01,16,gnome:1|gmail:5|ideopolis:1|intel:1|zonque:6|vrfy:1|coreos:1,79,67,12,16
2015-07-02,8,gmail:3|in:3|codethink:1|huseboe:1,18,19,7,8
2015-07-03,9,poettering:5|gmail:2|intel:1|zonque:1,68,63,35,9
2015-07-04,7,gmail:4|googlemail:1|linux:1|in:1,38,16,5,7
2015-07-05,12,gmail:6|vrfy:4|in:1|zonque:1,831,278,16,12
2015-07-06,30,jklm:3|poettering:5|zonque:9|gmail:3|vrfy:4|in:3|linux:2|ludd:1,625,3973,108,30
2015-07-07,8,in:1|gmail:3|holtmann:1|vrfy:1|poettering:1|zonque:1,260,162,15,8
2015-07-08,15,jklm:2|intel:1|axis:1|zonque:2|poettering:7|debian:1|gmail:1,9,25,7,15
2015-07-09,18,gmail:6|zonque:1|poettering:6|gnome:1|coreos:1|redhat:1|jklm:2,841,149,33,18
2015-07-10,20,gmail:3|axis:1|zonque:8|coreos:1|jklm:2|linux:3|redhat:2,1984,585,55,20
2015-07-11,18,gmail:2|poettering:9|zonque:6|jklm:1,426,116,29,18
2015-07-12,7,gmail:1|jklm:4|zonque:2,106,64,1,7
2015-07-13,10,gmail:1|zonque:1|jklm:8,922,15,21,10
2015-07-14,12,gmail:3|zonque:5|jklm:3|who-t:1,26,7,7,12
2015-07-15,9,gmail:4|zonque:2|jklm:3,91,122,16,9
2015-07-16,20,gmail:12|jklm:3|googlemail:1|intel:1|redhat:2|exherbo:1,389,114,37,20
2015-07-17,9,axis:1|gmail:2|googlemail:2|jklm:3|nokia:1,20,11,7,9
2015-07-19,2,zonque:1|jklm:1,3,1,1,2
2015-07-20,14,gmail:2|zonque:3|jklm:6|redhat:2|stebalien:1,198,47,15,14
2015-07-21,16,gmail:3|jklm:2|zonque:2|redhat:8|coreos:1,365,218,24,16
2015-07-22,13,in:1|zonque:1|gmail:3|redhat:4|jklm:1|poettering:2|gentoo:1,68,29,9,13
2015-07-23,49,zonque:10|poettering:16|jklm:13|gmail:7|googlemail:1|eworm:1|samsung:1,382,166,41,49
2015-07-24,40,zonque:12|poettering:10|suse:1|codethink:1|gmail:2|daurnimator:2|jklm:1|pengutronix:2|in:8|huseboe:1,285,205,46,40
2015-07-25,13,zonque:2|vrfy:1|gmail:2|in:1|jklm:7,98,82,25,13
2015-07-26,5,vrfy:4|gnome:1,4,4,2,5
2015-07-27,28,gmail:6|zonque:5|poettering:3|vrfy:1|jklm:1|who-t:1|debian:2|in:6|redhat:3,779,24890,104,28
2015-07-28,32,gmail:6|zonque:10|poettering:3|redhat:1|suse:1|jklm:7|who-t:1|samsung:2|in:1,699,262,40,32
2015-07-29,33,jklm:3|gmail:10|googlemail:1|poettering:6|zonque:8|vrfy:4|beuth-hochschule:1,778,674,75,33
2015-07-30,11,zonque:7|eworm:1|googlemail:1|gmail:1|vrfy:1,233,36,11,11
2015-07-31,35,gmail:13|zonque:7|vrfy:3|poettering:3|mamikk:2|holtmann:1|googlemail:1|codethink:1|coreos:3|who-t:1,1038,276,61,35
2015-08-01,6,gmail:4|zonque:1|in:1,52,35,10,6
2015-08-02,9,gmail:4|googlemail:1|debian:1|zonque:1|in:2,107,70,11,9
2015-08-03,15,huawei:1|zonque:4|jklm:3|poettering:6|coreos:1,125,70,19,15
2015-08-04,18,in:1|gmail:6|zonque:7|codethink:2|vrfy:1|redhat:1,79,38,17,18
