date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2000-04-17,9,lbox:7|codepoet:2,280,155,36,9
2000-04-18,10,codepoet:9|lineo:1,304,263,41,10
2000-04-19,8,codepoet:8,347,142,25,8
2000-04-21,3,codepoet:3,423,245,44,3
2000-04-24,1,lbox:1,36,25,4,1
2000-04-25,1,codepoet:1,189,28,13,1
2000-04-28,6,codepoet:6,450,179,57,6
2000-05-01,8,codepoet:7|lineo:1,711,1123,28,8
2000-05-02,4,codepoet:4,101,46,16,4
2000-05-03,3,codepoet:3,30,57,7,3
2000-05-05,2,codepoet:2,107,50,7,2
2000-05-08,2,codepoet:1|lineo:1,14,1,2,2
2000-05-10,2,codepoet:2,182,91,28,2
2000-05-12,2,codepoet:2,1753,482,137,2
2000-05-13,6,codepoet:6,233,72,21,6
2000-05-16,1,codepoet:1,48,52,7,1
2000-05-17,2,codepoet:2,36,25,6,2
2000-05-19,1,codepoet:1,3428,521,38,1
2000-05-20,1,codepoet:1,27,24,10,1
2000-05-25,1,codepoet:1,2,0,1,1
2000-05-30,2,codepoet:2,10,14,4,2
2000-05-31,2,codepoet:2,87,58,7,2
2000-06-02,14,codepoet:14,801,2632,53,14
2000-06-03,2,codepoet:2,3,2,3,2
2000-06-04,3,codepoet:3,17,20,7,3
2000-06-05,5,codepoet:3|gnu:2,113,50,8,5
2000-06-06,11,codepoet:4|lineo:5|gnu:2,231,174,31,11
2000-06-07,5,codepoet:2|gnu:3,307,202,20,5
2000-06-08,2,codepoet:1|gnu:1,26,27,2,2
2000-06-09,1,codepoet:1,14,4,3,1
2000-06-12,4,lbox:3|codepoet:1,5612,216,11,4
2000-06-13,4,codepoet:4,3347,29,21,4
2000-06-14,6,lbox:2|lineo:1|gnu:1|codepoet:2,1315,941,14,6
2000-06-15,1,gnu:1,26,17,3,1
2000-06-16,4,lineo:1|codepoet:3,351,207,12,4
2000-06-18,1,gnu:1,2,2,2,1
2000-06-19,14,codepoet:13|lineo:1,705,299,176,14
2000-06-20,3,gnu:1|codepoet:2,15,15,5,3
2000-06-21,16,lbox:2|codepoet:8|gnu:4|lineo:2,851,393,40,16
2000-06-22,7,codepoet:6|lineo:1,117,76,9,7
2000-06-26,5,codepoet:4|lineo:1,5735,77,24,5
2000-06-27,5,lbox:3|codepoet:2,167,142,9,5
2000-06-28,12,lbox:2|codepoet:4|lineo:6,685,484,35,12
