date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2023-03-20,75,tensorflow:16|google:51|nvidia:3|users:4|gmail:1,9190,4165,273,75
2023-03-21,92,gmail:3|tensorflow:22|google:62|nvidia:5,7212,4983,369,92
2023-03-22,103,gmail:1|google:61|tensorflow:26|users:2|arm:4|nvidia:6|intel:3,10356,4564,427,103
2023-03-23,72,gmail:1|users:1|google:52|tensorflow:10|ispras:1|nvidia:6|arm:1,5253,3091,294,72
2023-03-24,79,users:1|gmail:1|google:48|tensorflow:17|adalogics:1|intel:3|nvidia:7|arm:1,10960,8111,239,79
2023-03-25,7,gmail:2|google:5,345,958,36,7
2023-03-26,4,tensorflow:1|google:3,19,6,6,4
2023-03-27,49,tensorflow:10|google:33|nvidia:4|arm:1|ibm:1,1190,2797,153,49
2023-03-28,50,users:3|google:32|ibm:1|nvidia:3|tensorflow:10|intel:1,4141,1436,147,50
2023-03-29,106,nvidia:2|google:73|tensorflow:22|arm:4|linaro:1|intel:3|users:1,8838,3826,427,106
2023-03-30,77,users:2|google:57|tensorflow:17|nvidia:1,6172,2599,325,77
2023-03-31,57,tensorflow:12|google:36|ibm:2|arm:1|gmail:1|nvidia:3|intel:1|googlemail:1,2526,1291,150,57
2023-04-01,3,tensorflow:2|google:1,271,166,15,3
2023-04-02,8,tensorflow:5|google:3,253,85,14,8
2023-04-03,80,tensorflow:24|google:53|gmail:1|nvidia:2,6769,2396,326,80
2023-04-04,76,tensorflow:19|google:47|ispras:5|outlook:1|intel:2|users:1|yandex:1,3309,2592,213,76
2023-04-05,68,google:46|tensorflow:15|linaro:3|amd:1|ispras:1|nvidia:1|intel:1,5620,2805,215,68
2023-04-06,57,tensorflow:9|google:39|users:3|gmail:1|arm:1|nvidia:1|intel:3,6263,2512,131,57
2023-04-07,64,tensorflow:11|google:49|nvidia:4,5393,2198,312,64
2023-04-08,9,tensorflow:4|users:1|google:4,76,409,17,9
2023-04-09,8,intel:1|google:5|tensorflow:2,743,546,29,8
2023-04-10,46,tensorflow:19|google:24|gmail:1|users:1|intel:1,3218,1297,126,46
2023-04-11,74,gmail:1|tensorflow:16|google:54|users:3,5522,3196,238,74
2023-04-12,80,google:54|tensorflow:21|nvidia:4|users:1,3597,1854,202,80
2023-04-13,75,intel:4|verisilicon:1|nvidia:2|gmail:1|google:49|tensorflow:16|ibm:1|users:1,5440,2088,388,75
2023-04-14,69,tensorflow:18|google:42|intel:2|nvidia:7,5536,3949,374,69
2023-04-15,7,tensorflow:5|google:2,65,102,28,7
2023-04-16,5,tensorflow:3|google:1|gmail:1,516,281,19,5
2023-04-17,65,google:40|intel:4|tensorflow:17|linaro:1|nvidia:3,2828,1411,257,65
2023-04-18,80,nvidia:8|intel:3|google:45|arm:4|tensorflow:16|in:1|linaro:1|amd:2,14258,4077,390,80
2023-04-19,84,google:48|linaro:2|tensorflow:24|arm:3|users:2|intel:5,6157,3434,273,84
2023-04-20,72,nvidia:1|gmail:1|google:49|tensorflow:18|arm:3,6245,1302,223,72
2023-04-21,63,google:33|tensorflow:27|arm:2|gmail:1,3778,1425,246,63
2023-04-22,6,tensorflow:6,125,114,45,6
2023-04-23,7,tensorflow:4|gmail:1|google:2,41,31,8,7
2023-04-24,59,tensorflow:14|google:42|arm:1|nvidia:2,4958,719,191,59
2023-04-25,49,intel:2|gmail:1|google:31|tensorflow:10|nvidia:5,4028,1688,270,49
2023-04-26,68,intel:1|google:44|tensorflow:21|gmail:1|nvidia:1,3674,4331,257,68
2023-04-27,68,intel:2|tensorflow:20|google:42|gmail:4,4253,2673,334,68
2023-04-28,54,google:36|tensorflow:14|arm:2|intel:1|ibm:1,2383,2179,135,54
2023-04-29,4,intel:1|tensorflow:2|google:1,15,14,4,4
2023-04-30,3,tensorflow:3,4,2,3,3
2023-05-01,39,gmail:1|tensorflow:13|google:22|users:1|nvidia:1|intel:1,3063,1898,116,39
2023-05-02,64,tensorflow:12|google:43|linaro:2|users:1|gmail:2|intel:2|nvidia:2,3417,1650,147,64
2023-05-03,60,users:4|tensorflow:12|google:41|linaro:1|gmail:1|intel:1,10944,2441,224,60
2023-05-04,73,intel:5|tensorflow:22|google:43|amd:1|nvidia:2,5028,4876,263,73
2023-05-05,57,tensorflow:14|google:40|intel:2|users:1,3226,1932,215,57
2023-05-06,6,intel:1|tensorflow:4|google:1,133,8,7,6
2023-05-07,6,intel:1|tensorflow:2|gmail:2|google:1,8,8,5,6
2023-05-08,52,gmail:2|tensorflow:16|google:29|users:1|outlook:2|arm:1|intel:1,2936,3684,150,52
2023-05-09,85,tensorflow:13|google:62|gmail:1|arm:1|linaro:1|users:4|nvidia:1|intel:2,10519,2796,238,85
2023-05-10,84,google:60|tensorflow:16|arm:3|nvidia:2|intel:3,4854,7057,395,84
2023-05-11,66,google:43|tensorflow:9|gmail:1|linaro:1|intel:5|users:7,5598,3003,219,66
2023-05-12,59,intel:1|linaro:1|tensorflow:13|google:33|users:10|amd:1,5039,1380,192,59
2023-05-13,6,tensorflow:2|users:1|google:3,836,43,17,6
2023-05-14,5,gmail:1|tensorflow:3|google:1,29,49,7,5
2023-05-15,73,gmail:4|tensorflow:11|google:50|users:6|intel:2,10214,4499,377,73
2023-05-16,63,google:42|amd:3|tensorflow:14|intel:3|gmail:1,2522,742,157,63
2023-05-17,55,tensorflow:10|google:44|arm:1,7612,1236,158,55
2023-05-18,69,google:50|tensorflow:12|arm:2|users:2|adalogics:2|linaro:1,11270,1865,197,69
2023-05-19,60,rutgers:1|tensorflow:22|google:36|linaro:1,3423,6721,225,60
2023-05-20,6,tensorflow:3|google:3,42,384,10,6
2023-05-21,6,tensorflow:2|google:2|users:2,108,84,7,6
2023-05-22,72,tensorflow:21|google:43|arm:2|users:2|intel:4,4089,2152,182,72
2023-05-23,69,tensorflow:16|google:48|users:2|arm:1|amd:1|tu-dresden:1,4941,1876,180,69
2023-05-24,59,google:43|tensorflow:11|arm:1|linaro:3|amd:1,2569,935,130,59
2023-05-25,92,tensorflow:26|google:54|linaro:2|users:10,6531,3094,237,92
2023-05-26,40,tensorflow:15|google:25,2324,1595,122,40
2023-05-27,4,tensorflow:3|google:1,8,4,4,4
