date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2020-06-10,61,alibaba-inc:3|ii:1|users:36|gmail:6|google:7|ibm:1|qq:1|redhat:4|us:1|vmware:1,2155,662,137,61
2020-06-11,36,ii:1|vmware:5|gmail:4|users:16|google:2|redhat:7|fujitsu:1,1454,170,81,36
2020-06-12,38,gmail:3|users:18|k8s:1|google:8|cloudbasesolutions:2|amazon:1|huawei:2|ibm:1|redhat:2,2317,1119,127,38
2020-06-13,18,gmail:3|users:9|163:1|google:2|vmware:3,1435,505,25,18
2020-06-14,6,users:3|foxmail:1|google:1|gmail:1,333,6,5,6
2020-06-15,34,nec:1|google:3|users:16|gitlab:6|twosigma:1|qq:1|redhat:1|wx:1|gmail:2|hotmail:1|workday:1,573,667,58,34
2020-06-16,59,gmail:16|zte:1|users:19|hotmail:2|microsoft:4|redhat:6|google:10|nec:1,5970,751,165,59
2020-06-17,41,163:1|gmail:6|users:6|k8s:12|redhat:2|amazon:2|ibm:1|pingcap:3|google:6|vmware:1|ii:1,15909,2670,134,41
2020-06-18,69,microsoft:5|users:34|google:15|gmail:4|trip:1|kuaishou:1|cinlogic:1|foxmail:1|live:1|wx:1|cn:1|ibm:1|cloudbasesolutions:3,3782,2838,99,69
2020-06-19,46,gmail:4|users:28|google:9|live:1|protonmail:1|vmware:1|ptrk:2,20642,1921,234,46
2020-06-20,25,microsoft:9|users:8|gmail:4|vmware:1|hotmail:2|google:1,1574,311,88,25
2020-06-21,17,users:5|gmail:4|vmware:1|microsoft:1|praseodym:1|cinlogic:4|hotmail:1,485,83,32,17
2020-06-22,37,new-work:1|hmcts:1|gmail:1|users:18|google:6|vmware:3|ibm:1|axis:1|intel:1|redhat:1|amazon:3,1063,1555,84,37
2020-06-23,42,users:11|huawei:1|gmail:4|daocloud:2|axis:3|hotmail:3|google:16|cinlogic:1|wx:1,14554,15056,263,42
2020-06-24,47,163:1|ii:1|pingcap:1|users:24|google:2|cinlogic:1|wx:3|redhat:2|gmail:4|vmware:3|daocloud:2|axis:1|linux:1|intel:1,53729,103876,796,47
2020-06-25,51,ii:1|wx:1|google:4|users:13|infracloud:1|gmail:9|k8s:9|ibm:1|axis:1|datadoghq:3|redhat:6|intel:1|vmware:1,6392,1566,100,51
2020-06-26,62,ii:2|k8s:12|users:16|gmail:9|google:19|axis:1|amazon:2|redhat:1,8749,2116,231,62
2020-06-27,16,users:13|gmail:2|microsoft:1,20,13,5,16
2020-06-28,16,protonmail:1|gmail:8|vmware:3|users:3|redhat:1,705,1032,30,16
2020-06-29,39,ii:2|gmail:8|users:15|vmware:5|microsoft:2|google:4|intel:1|infoblox:1|redhat:1,1268,1394,81,39
2020-06-30,54,infracloud:2|ii:2|users:18|gmail:9|infoblox:1|vmware:5|google:8|redhat:2|live:2|wx:1|nvidia:4,2490,994,222,54
2020-07-01,76,ii:6|huawei:1|gmail:6|pingcap:1|users:37|intel:3|qq:2|redhat:2|google:7|infoblox:3|vmware:4|jetstack:2|hotmail:1|zte:1,1608,835,110,76
2020-07-02,47,hotmail:1|users:19|nvidia:11|google:3|redhat:2|qq:1|us:1|gmail:2|sematext:1|intel:2|vmware:1|ii:2|microsoft:1,2276,732,58,47
2020-07-03,21,ii:1|163:1|users:14|vmware:1|huawei:1|intel:1|gmail:2,220,45,14,21
2020-07-04,17,users:4|microsoft:2|gmail:3|vmware:2|alibaba-inc:1|google:1|nvidia:4,980,323,35,17
2020-07-05,4,users:1|ii:1|gmail:2,362,20,17,4
2020-07-06,31,gmail:7|126:1|users:4|vmware:3|google:12|bisnode:1|microsoft:2|wx:1,1295,591,88,31
2020-07-07,36,users:8|coderanger:1|google:7|vmware:1|gmail:6|microsoft:1|us:1|redhat:1|suse:5|ii:2|datadoghq:1|pingcap:2,1014,576,94,36
2020-07-08,34,us:1|nec:1|users:11|hotmail:1|microsoft:1|gmail:5|cinlogic:1|google:6|linux:1|vmware:1|jetstack:2|redhat:2|ii:1,1938,684,49,34
2020-07-09,58,gmail:6|users:43|redhat:1|google:3|k8s:2|ii:1|live:1|datadoghq:1,6075,39901,253,58
2020-07-10,44,google:1|users:27|qq:1|suse:1|gmail:8|here:4|ii:1|partner:1,596,196,29,44
2020-07-11,29,ctriple:1|users:20|redhat:1|gmail:5|hotmail:1|google:1,1591,777,100,29
2020-07-12,35,qq:1|users:26|gmail:1|sematext:2|cloudbasesolutions:1|datadoghq:4,943,398,22,35
2020-07-13,26,redhat:2|users:7|ii:3|gmail:2|infoblox:1|wx:1|google:2|us:1|builds:1|microsoft:6,1416,925,106,26
2020-07-14,26,ii:2|microsoft:4|users:4|gmail:3|k8s:3|vmware:2|wx:1|google:5|redhat:1|huawei:1,1394,2909,90,26
2020-07-15,34,users:6|gmail:7|zte:1|k8s:12|microsoft:1|google:3|vmware:1|redhat:1|intel:1|hotmail:1,2546,714,107,34
2020-07-16,25,users:10|google:9|gmail:2|ii:1|daocloud:1|live:1|microsoft:1,7620,173,66,25
2020-07-17,23,redhat:3|users:4|gmail:3|vmware:5|amazon:1|nvidia:2|google:4|manjusaka:1,918,483,87,23
2020-07-18,17,users:6|google:3|gmail:3|nvidia:4|hey:1,569,179,56,17
2020-07-19,12,users:5|gmail:3|vmware:3|hotmail:1,53,39,16,12
2020-07-20,42,ii:3|ctriple:1|users:11|gmail:3|google:7|redhat:1|alibaba-inc:2|influxdata:1|suse:8|vmware:2|zte:1|ptrk:1|amazon:1,618,370,116,42
