date,commits,orgs,lines_added,lines_deleted,files_changed,contributors
2008-12-10,40,getdesigned:1|aero:1|apple:21|gmail:6|nondot:2|mac:3|free:4|sapo:2,1722,881,106,40
2008-12-11,40,apple:15|gmail:11|codedgers:6|mxc:1|getdesigned:6|nondot:1,3738,2415,190,40
2008-12-12,47,gmail:2|apple:12|codedgers:1|nondot:23|mac:3|free:3|mxc:1|zuster:2,2192,1098,93,47
2008-12-13,30,codedgers:4|gmail:4|free:2|nondot:7|apple:7|laposte:2|getdesigned:3|mac:1,929,840,112,30
2008-12-14,14,apple:1|gmail:3|free:1|sapo:3|mac:1|mxc:1|nondot:4,94,59,16,14
2008-12-15,37,mxc:4|mac:2|nondot:15|apple:14|gmail:2,3022,2176,107,37
2008-12-16,51,apple:27|gmail:14|nondot:4|mxc:1|wanadoo:1|mac:2|sapo:2,2617,1061,137,51
2008-12-17,51,apple:30|codedgers:2|gmail:8|nondot:7|mac:2|sapo:2,2453,1929,109,51
2008-12-18,47,gmail:5|nondot:10|apple:26|mac:1|mxc:3|codedgers:1|zuster:1,2930,437,110,47
2008-12-19,33,apple:16|gmail:5|mxc:3|nondot:3|mac:5|uiuc:1,2441,1719,78,33
2008-12-20,23,apple:12|gmail:3|getdesigned:1|mxc:1|mac:6,980,698,74,23
2008-12-21,20,mac:7|mxc:1|gmail:6|codedgers:1|getdesigned:5,601,256,45,20
2008-12-22,41,mac:17|gmail:8|apple:12|getdesigned:4,1963,434,82,41
2008-12-23,49,apple:35|mac:1|nondot:4|gmail:2|getdesigned:1|math:6,2034,2154,109,49
2008-12-24,18,apple:6|nondot:2|mac:3|gmail:6|getdesigned:1,1440,259,60,18
2008-12-25,9,nondot:4|mac:2|gmail:1|apple:2,504,32,18,9
2008-12-26,13,mac:9|math:3|apple:1,435,73,23,13
2008-12-27,6,mac:1|aero:1|nondot:2|mxc:1|sapo:1,1601,673,25,6
2008-12-28,8,getdesigned:5|mac:3,532,85,18,8
2008-12-29,18,nondot:2|aero:2|free:5|gmail:8|apple:1,395,317,27,18
2008-12-30,3,apple:1|aero:2,980,652,27,3
2008-12-31,18,aero:1|nondot:2|mac:2|gmail:9|wanadoo:1|free:3,22819,134,63,18
2009-01-01,11,gmail:7|free:4,682,401,60,11
2009-01-02,39,free:6|nondot:9|gmail:11|mxc:4|apple:3|sapo:3|zuster:2|aero:1,5066,16497,103,39
2009-01-03,13,aero:1|gmail:4|mxc:2|apple:5|sapo:1,207,259,20,13
2009-01-04,30,apple:8|nondot:13|gmail:5|mac:1|mxc:3,982,310,44,30
2009-01-05,98,nondot:32|mxc:1|mac:3|aero:3|apple:36|gmail:8|free:8|zuster:5|getdesigned:2,5345,1268,301,98
2009-01-06,41,nondot:12|apple:19|zuster:4|aero:3|mac:1|laposte:1|gmail:1,1852,953,100,41
2009-01-07,45,zuster:5|apple:23|nondot:7|free:5|wanadoo:1|gmail:4,2183,1505,112,45
2009-01-08,57,wanadoo:1|apple:33|gmail:13|nondot:8|free:1|mac:1,2491,25539,126,57
2009-01-09,56,apple:26|zuster:9|nondot:13|codedgers:2|gmail:3|getdesigned:3,3100,2210,216,56
